Pokemon,Type,Height,Weight,Abilities,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Simplified Type,image_path
Hisuian Arcanine,"['Fire', 'Rock']",2.0,168.0,"['Intimidate', 'Flash Fire, Rock Head (hidden ability)']",95,300,394,115,211,361,80,148,284,95,175,317,80,148,284,90,166,306,Fire,/content/Pokemon Images DB/Pokemon Images DB/Hisuian Arcanine/Hisuian Arcanine.png
Arceus,['Normal'],3.2,320.0,['Multitype'],120,350,444,120,220,372,120,220,372,120,220,372,120,220,372,120,220,372,Normal,/content/Pokemon Images DB/Pokemon Images DB/Arceus/Arceus.png
Archaludon,"['Steel', 'Dragon']",2.0,60.0,"['Stamina', 'Sturdy, Stalwart (hidden ability)']",90,290,384,105,193,339,130,238,394,125,229,383,65,121,251,85,157,295,Steel,/content/Pokemon Images DB/Pokemon Images DB/Archaludon/Archaludon.png
Archen,"['Rock', 'Flying']",0.5,9.5,['Defeatist'],55,220,314,112,206,355,45,85,207,74,137,271,45,85,207,70,130,262,Rock,/content/Pokemon Images DB/Pokemon Images DB/Archen/Archen.png
Archeops,"['Rock', 'Flying']",1.4,32.0,['Defeatist'],75,260,354,140,256,416,65,121,251,112,206,355,65,121,251,110,202,350,Rock,/content/Pokemon Images DB/Pokemon Images DB/Archeops/Archeops.png
Arctibax,"['Dragon', 'Ice']",0.8,30.0,"['Thermal Exchange, Ice Body (hidden ability)']",90,290,384,95,175,317,66,123,254,45,85,207,65,121,251,62,116,245,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Arctibax/Arctibax.png
Arctovish,"['Water', 'Ice']",2.0,175.0,"['Water Absorb', 'Ice Body, Slush Rush (hidden ability)']",90,290,384,90,166,306,100,184,328,80,148,284,90,166,306,55,103,229,Water,/content/Pokemon Images DB/Pokemon Images DB/Arctovish/Arctovish.png
Arctozolt,"['Electric', 'Ice']",2.3,150.0,"['Volt Absorb', 'Static, Slush Rush (hidden ability)']",90,290,384,100,184,328,90,166,306,90,166,306,80,148,284,55,103,229,Electric,/content/Pokemon Images DB/Pokemon Images DB/Arctozolt/Arctozolt.png
Ariados,"['Bug', 'Poison']",1.1,33.5,"['Swarm', 'Insomnia, Sniper (hidden ability)']",70,250,344,90,166,306,70,130,262,60,112,240,70,130,262,40,76,196,Bug,/content/Pokemon Images DB/Pokemon Images DB/Ariados/Ariados.png
Armaldo,"['Rock', 'Bug']",1.5,68.2,"['Battle Armor, Swift Swim (hidden ability)']",75,260,354,125,229,383,100,184,328,70,130,262,80,148,284,45,85,207,Rock,/content/Pokemon Images DB/Pokemon Images DB/Armaldo/Armaldo.png
Armarouge,"['Fire', 'Psychic']",1.5,85.0,"['Flash Fire, Weak Armor (hidden ability)']",85,280,374,60,112,240,100,184,328,125,229,383,80,148,284,75,139,273,Fire,/content/Pokemon Images DB/Pokemon Images DB/Armarouge/Armarouge.png
Aromatisse,['Fairy'],0.8,15.5,"['Healer, Aroma Veil (hidden ability)']",101,312,406,72,134,267,72,134,267,99,182,326,89,164,304,29,56,172,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Aromatisse/Aromatisse.png
Aron,"['Steel', 'Rock']",0.4,60.0,"['Sturdy', 'Rock Head, Heavy Metal (hidden ability)']",50,210,304,70,130,262,100,184,328,40,76,196,40,76,196,30,58,174,Steel,/content/Pokemon Images DB/Pokemon Images DB/Aron/Aron.png
Arrokuda,['Water'],0.5,1.0,"['Swift Swim, Propeller Tail (hidden ability)']",41,192,286,63,117,247,40,76,196,40,76,196,30,58,174,66,123,254,Water,/content/Pokemon Images DB/Pokemon Images DB/Arrokuda/Arrokuda.png
Articuno,"['Ice', 'Flying']",1.7,55.4,"['Pressure, Snow Cloak (hidden ability)']",90,290,384,85,157,295,100,184,328,95,175,317,125,229,383,85,157,295,Ice,/content/Pokemon Images DB/Pokemon Images DB/Articuno/Articuno.png
Galarian Articuno,"['Psychic', 'Flying']",1.7,50.9,['Competitive'],90,290,384,85,157,295,85,157,295,125,229,383,100,184,328,95,175,317,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Galarian Articuno/Galarian Articuno.png
Audino,['Normal'],1.1,31.0,"['Healer', 'Regenerator, Klutz (hidden ability)']",103,316,410,60,112,240,86,159,298,60,112,240,86,159,298,50,94,218,Normal,/content/Pokemon Images DB/Pokemon Images DB/Audino/Audino.png
Mega Audino,"['Normal', 'Fairy']",1.5,32.0,['Healer'],103,316,410,60,112,240,126,231,386,80,148,284,126,231,386,50,94,218,Normal,/content/Pokemon Images DB/Pokemon Images DB/Mega Audino/Mega Audino.png
Aurorus,"['Rock', 'Ice']",2.7,225.0,"['Refrigerate, Snow Warning (hidden ability)']",123,356,450,77,143,278,72,134,267,99,182,326,92,170,311,58,108,236,Rock,/content/Pokemon Images DB/Pokemon Images DB/Aurorus/Aurorus.png
Avalugg,['Ice'],2.0,505.0,"['Own Tempo', 'Ice Body, Sturdy (hidden ability)']",95,300,394,117,215,366,184,335,513,44,83,205,46,87,210,28,54,170,Ice,/content/Pokemon Images DB/Pokemon Images DB/Avalugg/Avalugg.png
Hisuian Avalugg,"['Ice', 'Rock']",1.4,262.4,"['Strong Jaw', 'Ice Body, Sturdy (hidden ability)']",95,300,394,127,233,388,184,335,513,34,65,183,36,69,188,38,72,192,Ice,/content/Pokemon Images DB/Pokemon Images DB/Hisuian Avalugg/Hisuian Avalugg.png
Axew,['Dragon'],0.6,18.0,"['Rivalry', 'Mold Breaker, Unnerve (hidden ability)']",46,202,296,87,161,300,60,112,240,30,58,174,40,76,196,57,107,234,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Axew/Axew.png
Azelf,['Psychic'],0.3,0.3,['Levitate'],75,260,354,125,229,383,70,130,262,125,229,383,70,130,262,115,211,361,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Azelf/Azelf.png
Azumarill,"['Water', 'Fairy']",0.8,28.5,"['Thick Fat', 'Huge Power, Sap Sipper (hidden ability)']",100,310,404,50,94,218,80,148,284,60,112,240,80,148,284,50,94,218,Water,/content/Pokemon Images DB/Pokemon Images DB/Azumarill/Azumarill.png
Azurill,"['Normal', 'Fairy']",0.2,2.0,"['Thick Fat', 'Huge Power, Sap Sipper (hidden ability)']",50,210,304,20,40,152,40,76,196,20,40,152,40,76,196,20,40,152,Normal,/content/Pokemon Images DB/Pokemon Images DB/Azurill/Azurill.png
Bagon,['Dragon'],0.6,42.1,"['Rock Head, Sheer Force (hidden ability)']",45,200,294,75,139,273,60,112,240,40,76,196,30,58,174,50,94,218,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Bagon/Bagon.png
Baltoy,"['Ground', 'Psychic']",0.5,21.5,['Levitate'],40,190,284,40,76,196,55,103,229,40,76,196,70,130,262,55,103,229,Ground,/content/Pokemon Images DB/Pokemon Images DB/Baltoy/Baltoy.png
Banette,['Ghost'],1.1,12.5,"['Insomnia', 'Frisk, Cursed Body (hidden ability)']",64,238,332,115,211,361,65,121,251,83,153,291,63,117,247,65,121,251,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Banette/Banette.png
Mega Banette,['Ghost'],1.2,13.0,['Prankster'],64,238,332,165,301,471,75,139,273,93,171,313,83,153,291,75,139,273,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Mega Banette/Mega Banette.png
Barbaracle,"['Rock', 'Water']",1.3,96.0,"['Sniper', 'Tough Claws, Pickpocket (hidden ability)']",72,254,348,105,193,339,115,211,361,54,101,227,86,159,298,68,126,258,Rock,/content/Pokemon Images DB/Pokemon Images DB/Barbaracle/Barbaracle.png
Barboach,"['Water', 'Ground']",0.4,1.9,"['Oblivious', 'Anticipation, Hydration (hidden ability)']",50,210,304,48,90,214,43,81,203,46,87,210,41,78,199,60,112,240,Water,/content/Pokemon Images DB/Pokemon Images DB/Barboach/Barboach.png
Barraskewda,['Water'],1.3,30.0,"['Swift Swim, Propeller Tail (hidden ability)']",61,232,326,123,225,379,60,112,240,60,112,240,50,94,218,136,249,408,Water,/content/Pokemon Images DB/Pokemon Images DB/Barraskewda/Barraskewda.png
Basculegion Male,"['Water', 'Ghost']",3.0,110.0,"['Swift Swim', 'Adaptability, Mold Breaker (hidden ability)']",120,350,444,112,206,355,65,121,251,80,148,284,75,139,273,78,144,280,Water,/content/Pokemon Images DB/Pokemon Images DB/Basculegion (Male)/Basculegion (Male).png
Basculegion Female,"['Water', 'Ghost']",3.0,110.0,"['Swift Swim', 'Adaptability, Mold Breaker (hidden ability)']",120,350,444,92,170,311,65,121,251,100,184,328,75,139,273,78,144,280,Water,/content/Pokemon Images DB/Pokemon Images DB/Basculegion (Female)/Basculegion (Female).png
Basculin Red-Striped Form,['Water'],1.0,18.0,"['Reckless', 'Adaptability, Mold Breaker (hidden ability)']",70,250,344,92,170,311,65,121,251,80,148,284,55,103,229,98,180,324,Water,/content/Pokemon Images DB/Pokemon Images DB/Basculin (Red-Striped Form)/Basculin (Red-Striped Form).png
Basculin Blue-Striped Form,['Water'],1.0,18.0,"['Rock Head', 'Adaptability, Mold Breaker (hidden ability)']",70,250,344,92,170,311,65,121,251,80,148,284,55,103,229,98,180,324,Water,/content/Pokemon Images DB/Pokemon Images DB/Basculin (Blue-Striped Form)/Basculin (Blue-Striped Form).png
Basculin White-Striped Form,['Water'],1.0,18.0,"['Rattled', 'Adaptability, Mold Breaker (hidden ability)']",70,250,344,92,170,311,65,121,251,80,148,284,55,103,229,98,180,324,Water,/content/Pokemon Images DB/Pokemon Images DB/Basculin (White-Striped Form)/Basculin (White-Striped Form).png
Bastiodon,"['Rock', 'Steel']",1.3,149.5,"['Sturdy, Soundproof (hidden ability)']",60,230,324,52,98,223,168,306,478,47,89,212,138,252,412,30,58,174,Rock,/content/Pokemon Images DB/Pokemon Images DB/Bastiodon/Bastiodon.png
Baxcalibur,"['Dragon', 'Ice']",2.1,210.0,"['Thermal Exchange, Ice Body (hidden ability)']",115,340,434,145,265,427,92,170,311,75,139,273,86,159,298,87,161,300,Dragon,/content/Pokemon Images DB/Pokemon Images DB/Baxcalibur/Baxcalibur.png
Bayleef,['Grass'],1.2,15.8,"['Overgrow, Leaf Guard (hidden ability)']",60,230,324,62,116,245,80,148,284,63,117,247,80,148,284,60,112,240,Grass,/content/Pokemon Images DB/Pokemon Images DB/Bayleef/Bayleef.png
Beartic,['Ice'],2.6,260.0,"['Snow Cloak', 'Slush Rush, Swift Swim (hidden ability)']",95,300,394,130,238,394,80,148,284,70,130,262,80,148,284,50,94,218,Ice,/content/Pokemon Images DB/Pokemon Images DB/Beartic/Beartic.png
Beautifly,"['Bug', 'Flying']",1.0,28.4,"['Swarm, Rivalry (hidden ability)']",60,230,324,70,130,262,50,94,218,100,184,328,50,94,218,65,121,251,Bug,/content/Pokemon Images DB/Pokemon Images DB/Beautifly/Beautifly.png
Beedrill,"['Bug', 'Poison']",1.0,29.5,"['Swarm, Sniper (hidden ability)']",65,240,334,90,166,306,40,76,196,45,85,207,80,148,284,75,139,273,Bug,/content/Pokemon Images DB/Pokemon Images DB/Beedrill/Beedrill.png
Mega Beedrill,"['Bug', 'Poison']",1.4,40.5,['Adaptability'],65,240,334,150,274,438,40,76,196,15,31,141,80,148,284,145,265,427,Bug,/content/Pokemon Images DB/Pokemon Images DB/Mega Beedrill/Mega Beedrill.png
Beheeyem,['Psychic'],1.0,34.5,"['Telepathy', 'Synchronize, Analytic (hidden ability)']",75,260,354,75,139,273,75,139,273,125,229,383,95,175,317,40,76,196,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Beheeyem/Beheeyem.png
Beldum,"['Steel', 'Psychic']",0.6,95.2,"['Clear Body, Light Metal (hidden ability)']",40,190,284,55,103,229,80,148,284,35,67,185,60,112,240,30,58,174,Steel,/content/Pokemon Images DB/Pokemon Images DB/Beldum/Beldum.png
Bellibolt,['Electric'],1.2,113.0,"['Electromorphosis', 'Static, Damp (hidden ability)']",109,328,422,64,119,249,91,168,309,103,189,335,83,153,291,45,85,207,Electric,/content/Pokemon Images DB/Pokemon Images DB/Bellibolt/Bellibolt.png
Bellossom,['Grass'],0.4,5.8,"['Chlorophyll, Healer (hidden ability)']",75,260,354,80,148,284,95,175,317,90,166,306,100,184,328,50,94,218,Grass,/content/Pokemon Images DB/Pokemon Images DB/Bellossom/Bellossom.png
Bellsprout,"['Grass', 'Poison']",0.7,4.0,"['Chlorophyll, Gluttony (hidden ability)']",50,210,304,75,139,273,35,67,185,70,130,262,30,58,174,40,76,196,Grass,/content/Pokemon Images DB/Pokemon Images DB/Bellsprout/Bellsprout.png
Bergmite,['Ice'],1.0,99.5,"['Own Tempo', 'Ice Body, Sturdy (hidden ability)']",55,220,314,69,128,260,85,157,295,32,62,179,35,67,185,28,54,170,Ice,/content/Pokemon Images DB/Pokemon Images DB/Bergmite/Bergmite.png
Bewear,"['Normal', 'Fighting']",2.1,135.0,"['Fluffy', 'Klutz, Unnerve (hidden ability)']",120,350,444,125,229,383,80,148,284,55,103,229,60,112,240,60,112,240,Normal,/content/Pokemon Images DB/Pokemon Images DB/Bewear/Bewear.png
Bibarel,"['Normal', 'Water']",1.0,31.5,"['Simple', 'Unaware, Moody (hidden ability)']",79,268,362,85,157,295,60,112,240,55,103,229,60,112,240,71,132,265,Normal,/content/Pokemon Images DB/Pokemon Images DB/Bibarel/Bibarel.png
Bidoof,['Normal'],0.5,20.0,"['Simple', 'Unaware, Moody (hidden ability)']",59,228,322,45,85,207,40,76,196,35,67,185,40,76,196,31,60,177,Normal,/content/Pokemon Images DB/Pokemon Images DB/Bidoof/Bidoof.png
Binacle,"['Rock', 'Water']",0.5,31.0,"['Sniper', 'Tough Claws, Pickpocket (hidden ability)']",42,194,288,52,98,223,67,125,256,39,74,194,56,105,232,50,94,218,Rock,/content/Pokemon Images DB/Pokemon Images DB/Binacle/Binacle.png
Bisharp,"['Dark', 'Steel']",1.6,70.0,"['Defiant', 'Inner Focus, Pressure (hidden ability)']",65,240,334,125,229,383,100,184,328,60,112,240,70,130,262,70,130,262,Dark,/content/Pokemon Images DB/Pokemon Images DB/Bisharp/Bisharp.png
Blacephalon,"['Fire', 'Ghost']",1.8,13.0,['Beast Boost'],53,216,310,127,233,388,53,99,225,151,276,441,79,146,282,107,197,344,Fire,/content/Pokemon Images DB/Pokemon Images DB/Blacephalon/Blacephalon.png
Blastoise,['Water'],1.6,85.5,"['Torrent, Rain Dish (hidden ability)']",79,268,362,83,153,291,100,184,328,85,157,295,105,193,339,78,144,280,Water,/content/Pokemon Images DB/Pokemon Images DB/Blastoise/Blastoise.png
Mega Blastoise,['Water'],1.6,101.1,['Mega Launcher'],79,268,362,103,189,335,120,220,372,135,247,405,115,211,361,78,144,280,Water,/content/Pokemon Images DB/Pokemon Images DB/Mega Blastoise/Mega Blastoise.png
Blaziken,"['Fire', 'Fighting']",1.9,52.0,"['Blaze, Speed Boost (hidden ability)']",80,270,364,120,220,372,70,130,262,110,202,350,70,130,262,80,148,284,Fire,/content/Pokemon Images DB/Pokemon Images DB/Blaziken/Blaziken.png
Mega Blaziken,"['Fire', 'Fighting']",1.9,52.0,['Speed Boost'],80,270,364,160,292,460,80,148,284,130,238,394,80,148,284,100,184,328,Fire,/content/Pokemon Images DB/Pokemon Images DB/Mega Blaziken/Mega Blaziken.png
Blipbug,['Bug'],0.4,8.0,"['Swarm', 'Compound Eyes, Telepathy (hidden ability)']",25,160,254,20,40,152,20,40,152,25,49,163,45,85,207,45,85,207,Bug,/content/Pokemon Images DB/Pokemon Images DB/Blipbug/Blipbug.png
Blissey,['Normal'],1.5,46.8,"['Natural Cure', 'Serene Grace, Healer (hidden ability)']",255,620,714,10,22,130,10,22,130,75,139,273,135,247,405,55,103,229,Normal,/content/Pokemon Images DB/Pokemon Images DB/Blissey/Blissey.png
Blitzle,['Electric'],0.8,29.8,"['Lightning Rod', 'Motor Drive, Sap Sipper (hidden ability)']",45,200,294,60,112,240,32,62,179,50,94,218,32,62,179,76,141,276,Electric,/content/Pokemon Images DB/Pokemon Images DB/Blitzle/Blitzle.png
Boldore,['Rock'],0.9,102.0,"['Sturdy', 'Weak Armor, Sand Force (hidden ability)']",70,250,344,105,193,339,105,193,339,50,94,218,40,76,196,20,40,152,Rock,/content/Pokemon Images DB/Pokemon Images DB/Boldore/Boldore.png
Boltund,['Electric'],1.0,34.0,"['Strong Jaw, Competitive (hidden ability)']",69,248,342,90,166,306,60,112,240,90,166,306,60,112,240,121,222,375,Electric,/content/Pokemon Images DB/Pokemon Images DB/Boltund/Boltund.png
Bombirdier,"['Flying', 'Dark']",1.5,42.9,"['Big Pecks', 'Keen Eye, Rocky Payload (hidden ability)']",70,250,344,103,189,335,85,157,295,60,112,240,85,157,295,82,152,289,Flying,/content/Pokemon Images DB/Pokemon Images DB/Bombirdier/Bombirdier.png
Bonsly,['Rock'],0.5,15.0,"['Sturdy', 'Rock Head, Rattled (hidden ability)']",50,210,304,80,148,284,95,175,317,10,22,130,45,85,207,10,22,130,Rock,/content/Pokemon Images DB/Pokemon Images DB/Bonsly/Bonsly.png
Bouffalant,['Normal'],1.6,94.6,"['Reckless', 'Sap Sipper, Soundproof (hidden ability)']",95,300,394,110,202,350,95,175,317,40,76,196,95,175,317,55,103,229,Normal,/content/Pokemon Images DB/Pokemon Images DB/Bouffalant/Bouffalant.png
Bounsweet,['Grass'],0.3,3.2,"['Leaf Guard', 'Oblivious, Sweet Veil (hidden ability)']",42,194,288,30,58,174,38,72,192,30,58,174,38,72,192,32,62,179,Grass,/content/Pokemon Images DB/Pokemon Images DB/Bounsweet/Bounsweet.png
Braixen,['Fire'],1.0,14.5,"['Blaze, Magician (hidden ability)']",59,228,322,59,110,238,58,108,236,90,166,306,70,130,262,73,135,269,Fire,/content/Pokemon Images DB/Pokemon Images DB/Braixen/Braixen.png
Brambleghast,"['Grass', 'Ghost']",1.2,6.0,"['Wind Rider, Infiltrator (hidden ability)']",55,220,314,115,211,361,70,130,262,80,148,284,70,130,262,90,166,306,Grass,/content/Pokemon Images DB/Pokemon Images DB/Brambleghast/Brambleghast.png
Bramblin,"['Grass', 'Ghost']",0.6,0.6,"['Wind Rider, Infiltrator (hidden ability)']",40,190,284,65,121,251,30,58,174,45,85,207,35,67,185,60,112,240,Grass,/content/Pokemon Images DB/Pokemon Images DB/Bramblin/Bramblin.png
Braviary,"['Normal', 'Flying']",1.5,41.0,"['Keen Eye', 'Sheer Force, Defiant (hidden ability)']",100,310,404,123,225,379,75,139,273,57,107,234,75,139,273,80,148,284,Normal,/content/Pokemon Images DB/Pokemon Images DB/Braviary/Braviary.png
Hisuian Braviary,"['Psychic', 'Flying']",1.7,43.4,"['Keen Eye', 'Sheer Force, Tinted Lens (hidden ability)']",110,330,424,83,153,291,70,130,262,112,206,355,70,130,262,65,121,251,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Hisuian Braviary/Hisuian Braviary.png
Breloom,"['Grass', 'Fighting']",1.2,39.2,"['Effect Spore', 'Poison Heal, Technician (hidden ability)']",60,230,324,130,238,394,80,148,284,60,112,240,60,112,240,70,130,262,Grass,/content/Pokemon Images DB/Pokemon Images DB/Breloom/Breloom.png
